DAYDREAM [정규 1집] [IN THE DREAM VER],HIGHLIGHT(하이라이트),17%,72,000
DAYDREAM [정규 1집] [3종 세트],HIGHLIGHT(하이라이트),20%,18,000
THANK YOU [미니 6집],BRAVE GIRLS(브레이브걸스),20%,24,000
REAL LOVE [정규 2집] [FLORAL VER],OH MY GIRL(오마이걸),20%,24,000
REAL LOVE [정규 2집] [FRUITY VER],OH MY GIRL(오마이걸),19%,48,000
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),19%,22,000
COME AWAY WITH ME,박수진,19%,16,500
LILY, LILY [EP],권여름,19%,16,500
사계(SEASONS) [EP],건우,19%,17,500
시샘달 PART.1 [정규 1집],SWAN(수안),19%,22,000
사람 마음,김민성,20%,12,500
ABOUT [EP],ACHII(에이치),20%,24,000
THE REVE FESTIVAL 2022: FEEL MY RHYTHM [ORGEL VER] [미니 CD],RED VELVET(레드벨벳),19%,24,000
